sample_idx,wtk_time_index,timestamp,season,center_lat,center_lon,row_start,row_end,col_start,col_end,u_min,u_max,u_mean,u_std,v_min,v_max,v_mean,v_std,speed_min,speed_max,speed_mean,speed_std
0,336,20070115000000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-7.587817192077637,17.920730590820312,2.937103351493828,4.011041612447315,-9.124238014221191,10.486748695373535,1.6829047999435522,4.803696386323648,0.021362304729929248,18.04864508406785,6.446256035749868,3.011391966076578
1,337,20070115010000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-7.944179534912109,17.438989639282227,2.7893768880144165,4.193446125663404,-10.337348937988281,10.362006187438965,1.5476851307847272,4.853275267421246,0.06103515689244523,17.447433236066153,6.517934911699923,2.9718257695377486
2,338,20070115020000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-8.764630317687988,17.51393699645996,2.590208528951567,4.3719551360408815,-11.20511531829834,10.201316833496094,1.444962693466234,4.861008519069368,0.061035159012523814,17.53898562707927,6.555896703455095,2.925869333481667
3,339,20070115030000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-9.3219575881958,15.408759117126465,2.36399716907767,4.5309165993431995,-11.422816276550293,10.324049949645996,1.4148500349015505,4.851246563777214,0.10375976739643782,15.683463763920955,6.576100186299039,2.899825517025097
4,340,20070115040000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-10.181527137756348,14.439441680908203,2.0921871469565336,4.690342781602253,-12.22607707977295,10.72026538848877,1.4596390571057547,4.882825997945202,0.07019043052847702,15.057830808264846,6.6371137074648,2.880593689543783
5,341,20070115050000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-10.170186996459961,14.480440139770508,1.7561335750833171,4.858020869266325,-12.474424362182617,12.203892707824707,1.576704500100547,4.968159418139102,0.030517576437370807,15.83300031454431,6.762380381427398,2.8501207976732283
6,342,20070115060000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-11.204171180725098,15.367609977722168,1.4201249709954165,5.0361676248637055,-11.941239356994629,12.56005859375,1.762506042767093,5.083420339790335,0.05187988114986692,17.651908570065217,6.944176020317497,2.8470596375211628
7,343,20070115070000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-11.49911880493164,16.051132202148438,1.1009310582807241,5.25403579049558,-11.553403854370117,13.00851821899414,2.0484026280836742,5.169417309811414,0.04272460926304932,18.14020531289819,7.172266189247395,2.8799943824931784
8,344,20070115080000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-12.392568588256836,16.79076385498047,0.8472384874184061,5.465317763227848,-9.839628219604492,14.459892272949219,2.4337806162373172,5.192702665070575,0.06408691276454212,18.433183143344266,7.419533970346628,2.902667053985494
9,345,20070115090000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-13.727575302124023,20.481801986694336,0.6330577922185352,5.691488543927534,-9.478883743286133,14.191424369812012,2.889742595939999,5.178630579104268,0.048828122537391404,21.768852146656293,7.712294636052597,2.9125834591106834
