method_id,display_name,metric,metric_family,direction,n_total,n_finite,n_missing,coverage_status,missing_reason
f1_grad_e2,Candidate F: grad + repaired E2-low,comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
f1_grad_e2,Candidate F: grad + repaired E2-low,comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
f1_grad_e2,Candidate F: grad + repaired E2-low,comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
f1_grad_e2,Candidate F: grad + repaired E2-low,pd_distance,topology_pd,lower_is_better,168,168,0,complete,
f1_grad_e2,Candidate F: grad + repaired E2-low,mt_distance,topology_mt,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,psnruv,vector_uv,higher_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,pd_distance,topology_pd,lower_is_better,168,168,0,complete,
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,mt_distance,topology_mt,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,psnruv,vector_uv,higher_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
f3_grad_crit,Candidate F: grad + critical-maxima proxy,speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,pd_distance,topology_pd,lower_is_better,168,168,0,complete,
f3_grad_crit,Candidate F: grad + critical-maxima proxy,mt_distance,topology_mt,lower_is_better,168,168,0,complete,
gan,GAN baseline (pretrained),psnruv,vector_uv,higher_is_better,168,168,0,complete,
