method,sample_idx,psnr,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_gt,psd_slope_sr,psd_slope_delta,psd_slope_abs_delta,grad_mae,grad_w1,grad_kurtosis_gt,grad_kurtosis_sr,grad_kurtosis_delta,grad_kurtosis_abs_delta,exceed_frac_gt_t5,exceed_frac_sr_t5,exceed_frac_delta_t5,exceed_frac_abs_delta_t5,exceed_frac_gt_t10,exceed_frac_sr_t10,exceed_frac_delta_t10,exceed_frac_abs_delta_t10,exceed_frac_gt_t15,exceed_frac_sr_t15,exceed_frac_delta_t15,exceed_frac_abs_delta_t15,exceed_frac_gt_p90,exceed_frac_sr_p90,exceed_frac_delta_p90,exceed_frac_abs_delta_p90,exceed_frac_gt_p95,exceed_frac_sr_p95,exceed_frac_delta_p95,exceed_frac_abs_delta_p95,exceed_frac_gt_p99,exceed_frac_sr_p99,exceed_frac_delta_p99,exceed_frac_abs_delta_p99,key,pd_distance,mt_distance
gan,0,16.795101577106887,-205.47634801681164,550.1231716779968,1047.9299378272733,222.14363517272096,1.0013369877039693,2.6422928096341005,2.013919591197829,-0.6283732184362716,0.6283732184362716,0.3708194691661309,0.18018414254654097,22.02973963265129,21.776625462234275,-0.2531141704170139,0.2531141704170139,0.606616,0.50836,-0.09825600000000001,0.09825600000000001,0.220788,0.115704,-0.10508400000000001,0.10508400000000001,0.036864,0.031472,-0.005392000000000001,0.005392000000000001,0.1,0.072188,-0.027812000000000003,0.027812000000000003,0.05,0.043016,-0.006984000000000004,0.006984000000000004,0.01,0.0107,0.0006999999999999992,0.0006999999999999992,gan_s0_speed_p160_x0_y0,30.803790711467215,7.4365081787109375
gan,1,16.762376248015862,-258.1419947414145,638.7968802145207,1250.9008884906534,301.39645267418945,0.8481776700975295,2.712918606916356,2.0197204263156063,-0.6931981806007497,0.6931981806007497,0.37944279278147525,0.1781228424479087,21.59752764304492,21.74666370232025,0.1491360592753317,0.1491360592753317,0.630292,0.4563,-0.17399199999999998,0.17399199999999998,0.2575,0.12862,-0.12888,0.12888,0.046844,0.042136,-0.004707999999999997,0.004707999999999997,0.1,0.070184,-0.02981600000000001,0.02981600000000001,0.05,0.044312,-0.0056880000000000056,0.0056880000000000056,0.01,0.011972,0.001972,0.001972,gan_s1_speed_p160_x0_y0,30.88530950464529,6.860682964324951
gan,2,16.325587716001714,-264.72854386658827,728.7857135922825,1435.435548221455,395.6963336219626,0.7342136774294349,2.759865380808924,2.1314502992468776,-0.6284150815620464,0.6284150815620464,0.39334873789480745,0.17329574726804878,20.27101350618725,22.213102612676906,1.9420891064896573,1.9420891064896573,0.659104,0.40796,-0.25114400000000003,0.25114400000000003,0.29094,0.141496,-0.14944399999999997,0.14944399999999997,0.058684,0.055764,-0.002919999999999999,0.002919999999999999,0.1,0.076664,-0.02333600000000001,0.02333600000000001,0.05,0.050132,0.00013200000000000017,0.00013200000000000017,0.01,0.016204,0.0062039999999999994,0.0062039999999999994,gan_s2_speed_p160_x0_y0,31.856382022083032,8.620122909545898
gan,3,16.187382124339855,-227.04633475738908,839.9042263540649,1684.8877722706193,495.90499611615394,0.5875269763773278,2.814881356734811,1.6942443063981585,-1.1206370503366527,1.1206370503366527,0.40486299392283837,0.1762861786101795,20.3035498291027,25.70544659853968,5.401896769436981,5.401896769436981,0.6922,0.393612,-0.298588,0.298588,0.323652,0.157384,-0.166268,0.166268,0.071708,0.073752,0.002044000000000004,0.002044000000000004,0.1,0.089968,-0.010032,0.010032,0.05,0.057984,0.007983999999999998,0.007983999999999998,0.01,0.022296,0.012296,0.012296,gan_s3_speed_p160_x0_y0,30.93754351082033,10.553919792175293
gan,4,15.531989682338267,-92.82461398491782,968.4593349895775,2008.4631214281173,627.3228009821565,0.531070227920179,2.7681666845347106,1.398804228657982,-1.3693624558767286,1.3693624558767286,0.4185991721469151,0.16798132515038072,19.823823685874093,24.117528338122366,4.293704652248273,4.293704652248273,0.735992,0.402536,-0.333456,0.333456,0.362432,0.190596,-0.171836,0.171836,0.08138,0.098184,0.016804,0.016804,0.1,0.108252,0.008251999999999995,0.008251999999999995,0.05,0.074208,0.024207999999999993,0.024207999999999993,0.01,0.033968,0.023967999999999996,0.023967999999999996,gan_s4_speed_p160_x0_y0,32.1412292333553,10.472469329833984
gan,5,15.40359427220756,249.39233142468137,1280.9969024383065,2730.5541034672715,898.9394901017616,0.8061106859224986,2.7529552660172274,0.9892355872414429,-1.7637196787757845,1.7637196787757845,0.41801044191810643,0.16256476099871675,19.919202973031233,24.76263480506789,4.843431832036657,4.843431832036657,0.790428,0.452108,-0.33832,0.33832,0.398252,0.251232,-0.14701999999999998,0.14701999999999998,0.087164,0.131484,0.044319999999999984,0.044319999999999984,0.1,0.138688,0.038688,0.038688,0.05,0.101952,0.051952,0.051952,0.01,0.059108,0.049108,0.049108,gan_s5_speed_p160_x0_y0,33.0510752405221,8.72776985168457
gan,6,15.255035479217856,602.6415165648365,1581.587334664965,3275.0647788629076,1145.653537370707,0.929863356998961,2.708055286320495,0.9134860233811256,-1.7945692629393695,1.7945692629393695,0.42110948318397623,0.12726190139097404,19.219632143010532,25.346659014308376,6.1270268712978435,6.1270268712978435,0.829016,0.53034,-0.29867599999999994,0.29867599999999994,0.434664,0.306912,-0.12775199999999998,0.12775199999999998,0.090252,0.166996,0.076744,0.076744,0.1,0.173488,0.073488,0.073488,0.05,0.126944,0.076944,0.076944,0.01,0.076668,0.066668,0.066668,gan_s6_speed_p160_x0_y0,34.23249658361452,6.879649639129639
gan,7,14.621173362979086,909.3480870857466,1805.238618648783,3862.0421865284206,1329.883467220606,0.9646127623391371,2.6863219912181333,0.9731425682035392,-1.7131794230145942,1.7131794230145942,0.41211746032445423,0.10703449411007694,19.406748919896796,22.252380718767593,2.845631798870798,2.845631798870798,0.86922,0.622124,-0.24709599999999998,0.24709599999999998,0.460136,0.370156,-0.08998,0.08998,0.095252,0.205984,0.110732,0.110732,0.1,0.210716,0.11071599999999998,0.11071599999999998,0.05,0.142212,0.092212,0.092212,0.01,0.077996,0.067996,0.067996,gan_s7_speed_p160_x0_y0,34.49768767426166,10.272831916809082
gan,8,14.555997147595054,1218.5197859702193,2011.3628275293818,4062.521317685939,1525.362298688115,1.02653755405896,2.681394427062344,1.105391030700885,-1.5760033963614593,1.5760033963614593,0.40894928455715923,0.08115696682351381,19.724929029252458,23.37927227548273,3.6543432462302725,3.6543432462302725,0.900284,0.698644,-0.20163999999999993,0.20163999999999993,0.493224,0.4376,-0.05562400000000001,0.05562400000000001,0.099704,0.265876,0.166172,0.166172,0.1,0.2662,0.1662,0.1662,0.05,0.197628,0.14762799999999998,0.14762799999999998,0.01,0.090296,0.080296,0.080296,gan_s8_speed_p160_x0_y0,35.53191307563801,8.75827407836914
gan,9,14.191028335678418,1563.8442032482637,2268.116105664455,4257.344937941908,1798.9772295981475,1.0325813101785404,2.6240306047279827,1.0999037723499558,-1.5241268323780268,1.5241268323780268,0.39823847734829904,0.07134651562709173,18.89682228236526,25.487304237484224,6.590481955118964,6.590481955118964,0.92978,0.757664,-0.17211600000000005,0.17211600000000005,0.53286,0.493416,-0.03944399999999998,0.03944399999999998,0.107044,0.327984,0.22094,0.22094,0.1,0.321508,0.221508,0.221508,0.05,0.259888,0.20988800000000002,0.20988800000000002,0.01,0.122004,0.112004,0.112004,gan_s9_speed_p160_x0_y0,34.70855200692721,9.8829927444458
gan,10,14.185660370301648,1868.2460463934713,2533.5594800423023,4416.633768387147,2045.3500964973039,1.0034835678030112,2.540863651411762,1.1284724147942489,-1.4123912366175133,1.4123912366175133,0.3923252104477496,0.06803132601397086,19.156872458932398,23.62796469198223,4.471092233049831,4.471092233049831,0.945176,0.812952,-0.132224,0.132224,0.556484,0.537376,-0.019108000000000014,0.019108000000000014,0.116736,0.374064,0.257328,0.257328,0.1,0.362896,0.262896,0.262896,0.05,0.30226,0.25226,0.25226,0.01,0.175324,0.165324,0.165324,gan_s10_speed_p160_x0_y0,36.239495430814294,8.46780776977539
gan,11,13.844848417159483,2163.108671354468,2792.4271685409926,4544.06021033208,2286.844258710926,1.0147792618896014,2.3522699659778543,1.1032397900480375,-1.2490301759298168,1.2490301759298168,0.40159538943577267,0.0572040704960273,18.284984904522613,23.392294562895902,5.107309658373289,5.107309658373289,0.946068,0.85422,-0.09184800000000004,0.09184800000000004,0.582608,0.580516,-0.0020919999999999828,0.0020919999999999828,0.132712,0.414164,0.281452,0.281452,0.1,0.39758,0.29757999999999996,0.29757999999999996,0.05,0.349328,0.29932800000000004,0.29932800000000004,0.01,0.247092,0.237092,0.237092,gan_s11_speed_p160_x0_y0,35.09062003144281,15.690364837646484
gan,12,13.2270213924417,2420.962859624347,3035.534396958103,4642.995865295601,2517.108235378466,1.0143072986697983,2.263671159759557,1.0153714435181092,-1.248299716241448,1.248299716241448,0.3986022952070604,0.055159590381400406,17.398512855685926,18.954480527513912,1.555967671827986,1.555967671827986,0.928128,0.873896,-0.05423199999999995,0.05423199999999995,0.61038,0.611424,0.0010439999999999339,0.0010439999999999339,0.156016,0.444764,0.288748,0.288748,0.1,0.419412,0.31941200000000003,0.31941200000000003,0.05,0.377912,0.32791200000000004,0.32791200000000004,0.01,0.297772,0.287772,0.287772,gan_s12_speed_p160_x0_y0,34.674502319200926,10.539043426513672
