sample_idx,psnr_cnn,psnr_gan,ssim_cnn,ssim_gan,abs_delta_psnr,abs_delta_ssim,mt_cnn,mt_gan,pd_cnn,pd_gan,delta_mt_cnn_minus_gan,delta_pd_cnn_minus_gan,winner_mt,winner_pd,cnn_lr_mae,gan_lr_mae,cnn_lr_mse,gan_lr_mse,cnn_lr_psnr,gan_lr_psnr,winner_lr_mae,winner_lr_mse,winner_lr_psnr,winner_lr_group,cnn_err_abs_max,gan_err_abs_max,winner_extreme_abs_max,cnn_exceed_err_q90,gan_exceed_err_q90,winner_exceed_q90,cnn_exceed_err_q95,gan_exceed_err_q95,winner_exceed_q95,cnn_tail_mae,gan_tail_mae,winner_tail_mae,winner_extreme_group,cnn_wpd_rmse,gan_wpd_rmse,winner_wpd_rmse,cnn_wpd_mae,gan_wpd_mae,winner_wpd_mae,cnn_psd_log_l2,gan_psd_log_l2,winner_psd_log_l2,cnn_grad_mae,gan_grad_mae,winner_grad_mae,winner_physics_group,agree_mt_winner_lr_mae,agree_mt_winner_lr_mse,agree_mt_winner_lr_psnr,agree_mt_winner_lr_group,agree_mt_winner_extreme_abs_max,agree_mt_winner_extreme_group,agree_mt_winner_tail_mae,agree_mt_winner_physics_group,topology_gap_abs,agreement_score,metric,threshold
27,32.43554725561233,31.004774013425244,0.5455050057267327,0.5158597038414781,1.4307732421870831,0.029645301885254605,6.4783101081848145,19.968429565429688,36.89696946573002,30.945378681968467,-13.490119457244873,5.951590783761549,cnn,gan,0.5691386046622094,0.7696634262762271,0.6882513740714592,1.270978061840245,29.98897944238759,27.325069770323317,cnn,cnn,cnn,cnn,2.5199343383113586,18.942188480721178,cnn,0.0019639999999999935,0.003928000000000001,cnn,0.005804000000000004,0.0009959999999999969,gan,1.2803894641329714,1.3273803139799443,cnn,cnn,1075.806699306839,1542.905918617315,cnn,539.2322537921307,687.0940395503727,cnn,1.0338251268491814,0.5527756599668898,gan,0.502052729104065,0.52770402576532,cnn,cnn,1,1,1,1,1,1,1,1,13.490119457244873,1.0,ssim,0.05
33,33.13841166027277,31.33543402332805,0.6291099541721126,0.577199397558745,1.8029776369447212,0.05191055661336752,6.76971960067749,20.00556755065918,38.39305861348763,30.400139282712473,-13.23584794998169,7.992919330775159,cnn,gan,0.46422265547070846,0.7027115974597395,0.510815538630059,1.1450073253186703,30.299129501749654,26.793687847488286,cnn,cnn,cnn,cnn,2.630935321604767,18.89847734466406,cnn,0.005656000000000008,0.023803999999999992,cnn,0.011028000000000003,0.020332000000000003,cnn,1.3730832215683733,1.3830427545422077,cnn,cnn,764.751857341383,1305.5708100380843,cnn,352.71875426421553,499.91072771643724,cnn,1.1318069454482156,0.5073020370980564,gan,0.4413939123562078,0.4643614594791311,cnn,cnn,1,1,1,1,1,1,1,1,,,,
34,33.07202844590628,31.370556204226762,0.6229292723566594,0.567283482820683,1.7014722416795145,0.05564578953597643,6.323113918304443,19.445999145507812,37.356416104450325,28.907547601520903,-13.12288522720337,8.448868502929422,cnn,gan,0.45994250663864794,0.6810252802538272,0.5142421118138816,1.1202125210727334,29.829043160745428,26.447715320115684,cnn,cnn,cnn,cnn,1.5901306293968496,18.339828324600116,cnn,0.009000000000000008,0.01938799999999999,cnn,0.013480000000000006,0.01658799999999999,cnn,1.3281032156410517,1.316492897006437,gan,cnn,741.5300760175506,1263.77870563877,cnn,347.5407834638081,479.9809998607392,cnn,1.2791768655847573,0.5305548480536366,gan,0.4382239262492533,0.45985698873311476,cnn,cnn,1,1,1,1,1,1,0,1,,,,
32,33.02557990556471,31.329788764503412,0.6141962458916969,0.5668540061885483,1.6957911410612994,0.04734223970314855,7.461033821105957,19.229158401489258,38.55925876668554,30.547158977309156,-11.7681245803833,8.012099789376382,cnn,gan,0.5051768311565649,0.7202969225533907,0.5825355460393601,1.183302397596829,29.96174193762234,26.884008802293714,cnn,cnn,cnn,cnn,3.840980682829567,18.026115696144636,cnn,0.0048960000000000115,0.023679999999999993,cnn,0.005636000000000002,0.017804,cnn,1.4980921211863236,1.5200446465965913,cnn,cnn,852.2134222710496,1325.6962716925323,cnn,385.69790253652036,527.9534340681104,cnn,1.0390081069692407,0.4673002428402866,gan,0.44980215489013164,0.48704535380406533,cnn,cnn,1,1,1,1,1,1,1,1,11.7681245803833,1.0,ssim,0.05
31,32.90329769043908,31.254266946670207,0.5933565142986378,0.560276398804242,1.6490307437688756,0.03308011549439582,6.818642616271973,16.23410415649414,39.104318483733294,31.3053599336416,-9.415461540222168,7.798958550091694,cnn,gan,0.5260471178581105,0.7285619412536761,0.5983450656730244,1.2074898597714494,29.775768665782685,26.726450881637373,cnn,cnn,cnn,cnn,1.9753236737731825,14.84238656004208,cnn,0.0049960000000000004,0.020947999999999994,cnn,0.010148000000000004,0.015191999999999997,cnn,1.5606126269297353,1.566101585693588,cnn,cnn,868.8148701848337,1318.0910782213407,cnn,409.8108667034604,552.2278636914317,cnn,0.9510075024444029,0.4303520102960272,gan,0.4604744525880125,0.49124521467420523,cnn,cnn,1,1,1,1,1,1,1,1,9.415461540222168,1.0,ssim,0.05
35,32.523540173374215,31.11427630511267,0.6166792470112487,0.5686363295355614,1.4092638682615437,0.04804291747568723,6.2719197273254395,14.435929298400879,35.95264003005777,28.746843597068697,-8.16400957107544,7.205796432989075,cnn,gan,0.47019063458010424,0.6542641537446675,0.5587044924845437,1.0342992777174815,29.10971506065948,26.43507448153634,cnn,cnn,cnn,cnn,0.04103341514272785,13.012368818289321,cnn,0.00898800000000001,0.021732,cnn,0.006084000000000006,0.014336000000000002,cnn,1.286528219143019,1.2282561324123518,gan,cnn,739.6425837087753,1044.0418570863724,cnn,348.67662963704873,459.76373070908437,cnn,1.2113576942596804,0.5061641133876118,gan,0.43871695783849757,0.4591003013746013,cnn,cnn,1,1,1,1,1,1,0,1,8.16400957107544,1.0,ssim,0.05
28,32.39861919012853,30.823729610061473,0.5493210205946714,0.49707468733515603,1.5748895800670546,0.05224633325951533,7.210402011871338,14.947399139404297,38.33189346230645,30.74946233279523,-7.736997127532959,7.5824311295112174,cnn,gan,0.5632753164144738,0.7804939607435264,0.6569600762995725,1.2775152216867316,30.097846026321225,27.20957497273836,cnn,cnn,cnn,cnn,1.3072233971081886,10.518765227409304,cnn,0.0026680000000000037,0.006272,cnn,0.005748000000000003,0.003019999999999995,gan,1.1794410684581964,1.2556034795997701,cnn,cnn,979.0243041280014,1425.4205249874647,cnn,499.8231641258566,657.1796061566475,cnn,1.025674076311513,0.49921239503251674,gan,0.4856880705704119,0.5196574619775653,cnn,cnn,1,1,1,1,1,1,1,1,,,,
30,33.05434940011379,31.234617475323553,0.5959090966970294,0.5482640891858299,1.81973192479024,0.04764500751119949,8.127463340759277,14.847400665283203,39.94080457344863,30.82310921065586,-6.719937324523926,9.11769536279277,cnn,gan,0.5447212820326311,0.7629375902023063,0.6299924278558782,1.3150056608266592,29.798965623198196,26.603042694591416,cnn,cnn,cnn,cnn,4.387614622740671,13.023800862749503,cnn,0.008300000000000002,0.019807999999999992,cnn,0.005720000000000003,0.008011999999999998,cnn,1.596626452044923,1.6804025630258002,cnn,cnn,952.1856816491994,1521.714843614323,cnn,438.71927618828465,609.2346044293661,cnn,0.9346884955902305,0.3893695848995645,gan,0.46673511929422323,0.5036384560690615,cnn,cnn,1,1,1,1,1,1,1,1,6.719937324523926,1.0,ssim,0.05
29,32.77239492835451,30.970170120853133,0.5706943453302812,0.5242794320512635,1.802224807501375,0.0464149132790177,6.963974952697754,12.864243507385254,38.84347398326436,31.752977463202388,-5.9002685546875,7.090496520061972,cnn,gan,0.5533067355457679,0.7821937631498515,0.6424804503334967,1.3399594795689176,29.8960122956995,26.703694813984495,cnn,cnn,cnn,cnn,2.4859076336176145,10.977287671278575,cnn,0.0028719999999999996,0.021643999999999997,cnn,0.0005400000000000058,0.004615999999999995,cnn,1.2967727697335616,1.4371473786964792,cnn,cnn,957.4354611822343,1495.057118542422,cnn,471.3270377630293,648.439149960014,cnn,0.9228290696278139,0.43052544565748946,gan,0.4766164514857466,0.5177161419290496,cnn,cnn,1,1,1,1,1,1,1,1,5.9002685546875,1.0,ssim,0.05
131,31.380336354373057,29.47617395331682,0.591905800155085,0.5220472603960068,1.9041624010562366,0.06985853975907819,6.2030792236328125,12.011610984802246,33.0539968727652,25.23355611194131,-5.808531761169434,7.820440760823885,cnn,gan,0.476527391106295,0.618511965201513,0.4272741496837241,0.805463198733479,30.89900906762829,28.145618228439016,cnn,cnn,cnn,cnn,0.523313009611531,7.381085381912353,cnn,0.01345600000000001,0.012740000000000001,gan,0.013696,0.008464,gan,0.9052337383624028,0.7906236068098861,gan,gan,635.8938490514463,916.2333511878167,cnn,394.3154103389451,503.46271390344896,cnn,0.8529033841987363,0.5231116919626858,gan,0.3919248256056496,0.42096771850022685,cnn,cnn,1,1,1,1,1,0,0,1,,,,
