phase,file_path,sha256_before,sha256_after,status
phase1,docs/primary_candidate_artifact_reference.md,48c21170082d55a7d930ea0e92bee29ed559a667a5f3f5d81bf95ce52f6217d5,48c21170082d55a7d930ea0e92bee29ed559a667a5f3f5d81bf95ce52f6217d5,unchanged
phase2a,docs/unified_candidate_analysis_phase2a.md,8ceabc21b5c97c5e00d5a4fd9e1fa6f086aecc7d4961b19ac2313779ee94919e,8ceabc21b5c97c5e00d5a4fd9e1fa6f086aecc7d4961b19ac2313779ee94919e,unchanged
phase2b,docs/unified_candidate_analysis_phase2b.md,533156b23dfb42dcc48b0d056f97559db1cf6d510269363a8691576ab05c24e6,533156b23dfb42dcc48b0d056f97559db1cf6d510269363a8691576ab05c24e6,unchanged
phase1,docs/unified_candidate_evaluation_inventory.md,3112abd2d99ab3b2dacda91b079789fed79de08050d5ba78dbe2a579ee1155cc,3112abd2d99ab3b2dacda91b079789fed79de08050d5ba78dbe2a579ee1155cc,unchanged
phase1,docs/unified_candidate_evaluation_phase1.md,d562fdf1f11ad34bc72d9f57441c7099fc3808ce5d9c40820a0fc39e73c7aa18,d562fdf1f11ad34bc72d9f57441c7099fc3808ce5d9c40820a0fc39e73c7aa18,unchanged
phase1,logs/build_unified_candidate_evaluation.log,02471e7a80e4086e2516d62aa63b081eb90528c2fd0f8256c350ca9d5c9b90c8,02471e7a80e4086e2516d62aa63b081eb90528c2fd0f8256c350ca9d5c9b90c8,unchanged
phase2a,logs/unified_candidate_analysis_phase2a.log,58638c01fe1593c851f9ad0c28c029ecfc529a0c07f58f8c3acd8619a7fee55f,58638c01fe1593c851f9ad0c28c029ecfc529a0c07f58f8c3acd8619a7fee55f,unchanged
phase2b,logs/unified_candidate_analysis_phase2b.log,4345bda3a28f43c12c323d84920fb96cf776dc95c90dcf14515e7f2ad569d533,4345bda3a28f43c12c323d84920fb96cf776dc95c90dcf14515e7f2ad569d533,unchanged
phase2b,scripts/analyze_unified_candidate_factors_phase2b.py,a9fbeaeb181ffd3eec21d6e58a309052ce8242e54d33e8bf638da696a1e4dd05,a9fbeaeb181ffd3eec21d6e58a309052ce8242e54d33e8bf638da696a1e4dd05,unchanged
phase2a,scripts/analyze_unified_candidate_metrics_phase2a.py,816d025cd38479edcb45f4c9db22211be8c104419933b8ee4db2d235aef53563,816d025cd38479edcb45f4c9db22211be8c104419933b8ee4db2d235aef53563,unchanged
phase2b,scripts/test_analyze_unified_candidate_factors_phase2b.py,58f8501171ee4e8efe1f9733a65786ac1d223c18f0eda732073cd5a2af7c3a89,58f8501171ee4e8efe1f9733a65786ac1d223c18f0eda732073cd5a2af7c3a89,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/method_descriptive_summary.csv,937002dabd2dbc957692f9afb275c3912eea1333e708af31d8709c637ddfeae2,937002dabd2dbc957692f9afb275c3912eea1333e708af31d8709c637ddfeae2,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/method_mean_improvement_matrix.csv,4d10e5a75c2c42f422b7505a912fafb056bc9b496ec8d987d511bb409b2c50c3,4d10e5a75c2c42f422b7505a912fafb056bc9b496ec8d987d511bb409b2c50c3,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/method_win_rate_matrix.csv,8ee88074dfa2e3d71a433b0cd465b70e369c58e417200e181b1926ba45d3faf0,8ee88074dfa2e3d71a433b0cd465b70e369c58e417200e181b1926ba45d3faf0,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/metric_coverage.csv,f2e52eb637a815ba89067bd249451946264470ea4ce841568640fc148c92f92d,f2e52eb637a815ba89067bd249451946264470ea4ce841568640fc148c92f92d,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/paired_vs_cnn_adjusted.csv,29c1020a425b8758edf9b6a3ec19a99bec36b275ec25468a9f2a790b9d51d46a,29c1020a425b8758edf9b6a3ec19a99bec36b275ec25468a9f2a790b9d51d46a,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/paired_vs_cnn_detailed.csv,0fa251f46b2ee5335c6700c63e89fe6232b9ddc9a7105ae191d5e82ecadd49f5,0fa251f46b2ee5335c6700c63e89fe6232b9ddc9a7105ae191d5e82ecadd49f5,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/phase1_immutability_check.csv,d04eb107f14f3e75c24fb61669a3f73fc0a753605b1392eb642c85ecefa889f3,d04eb107f14f3e75c24fb61669a3f73fc0a753605b1392eb642c85ecefa889f3,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/phase1_pairwise_reproduction.csv,8278c7930117c07a04c6b988cdf2c505447581abb0514d506235b50f9bf21277,8278c7930117c07a04c6b988cdf2c505447581abb0514d506235b50f9bf21277,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/phase2a_validation.csv,3ece12b015ff1bf9242f4bfce61b749f555e89cc981681b6b28c41ed22105f16,3ece12b015ff1bf9242f4bfce61b749f555e89cc981681b6b28c41ed22105f16,unchanged
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/topology_tradeoff_summary.csv,c2d8bbbd2e3cc094f6e28ba4c3c2a8582c6f9c75c79672327bfdf1073039e35a,c2d8bbbd2e3cc094f6e28ba4c3c2a8582c6f9c75c79672327bfdf1073039e35a,unchanged
